Municipio;Taxa de Incidencia de Tuberculose ;Taxa de mortalidade ;Taxa de incidencia tuberculose bacilífera ;Casos Brancos;Casos Amarelos;Casos Ignorado;Casos Indigena;Cassos Parda;Casos Negros;Óbitos Brancos;Óbitos Amarelos;Óbitos Ignorado;Óbitos Indigena;Óbitos Parda;Óbitos Negros;(%) Casos Bacilíferos Curados ;(%) Casos de Retratamento que Realizaram cultura (*) ;(%) Casos com teste HIV realizado ;Acesso a Saúde Básica (PSF);% Renda Percapta 1/2 Salário Minimo [2010];(%) Taxa de escolarização de 6 a 14 anos de idade (2010);IDH-M(2010); Esgotamento Sanitário Adequado [2010];Média de Moradores em Domicílios Particulares Ocupados [2010];GINI [2010];;;;
85;24,688;14,88;15,70571429;96,666;100;;;72,22333333;;100;;;;;;100;;100;99,92714286;53;97,9;0,61;0,319;"3,55  
";0,5277;;;;
86;13,792;8,78;14,76142857;66,66666667;100;;;83,33333333;100;;;100;;;;83,33333333;50;75;97,97785714;52,9;97,9;0,557;0,232;0,039;0,5208;;;;
87;18,445;8,097142857;10,7475;51,665;;87,5;;80,74111111;47,915;75;;;;80;;91,81818182;83,33;34,72;99,705;49,3;97,7;0,592;0,051;0,0328;0,5013;;;;
88;32,37266667;5,635;20,80857143;35,25666667;11,11;7,69;;70,82285714;16,645;86,666;;100;;77,77666667;33,33;68,45071429;39,58;43,62583333;99,80785714;48,6;96,7;0,613;0,346;0,0328;0,5013;;;;
89;29,658;4,323333333;19,078;43,23727273;20;;;67,29846154;25,904;100;;100;;100;;74,97923077;100;38,86272727;92,865;45,5;97;0,615;0,652;0,036;0,5072;;;;
90;19,032;6,5;12,76090909;40,928;50;;;73,31714286;57,145;100;;;;;;70,37;50;76,74555556;98,81428571;52,5;97,1;0,564;0,099;"3,55  
";0,5072;;;;
91;23,23571429;10,5;20,47;75;100;;;75;37,5;;;;;100;;77,77666667;;;99,66;50,3;95,6;0,562;0,207;0,0359;0,4989;;;;
92;24,23714286;7,05;14,78727273;40,44625;;;;74,54333333;30,31666667;;;;;;;78,57142857;77,77666667;79,404;99,345;51,9;97,7;0,558;0,091;0,0342;0,5499;;;;
93;23,97166667;26,555;17,445;66,66666667;;;;71,42857143;100;;;;;100;;116,6666667;;75;99,82142857;49,7;98,1;0,603;0,416;0,0357;0,5118;;;;
94;50,48333333;2,388571429;25,41333333;28,09666667;0,887692308;2,218;0,338;63,196;7,084;26,125;;11,76;;63,84285714;14,29777778;67,73266667;22,13133333;51,35666667;82,9;2,7;96,9;0,763;0,708;"3,37  
";0,6287;;;;
